id,pubId,Equation,reactionEnergy,surfaceComposition,ads_1,ads_2,ads_3,sites_1,sites_2,sites_3,MetalA,RatioA,MetalB,RatioB
372069.0,MamunHighT2019,N2O(g) + 3* -> 2N* + O*,-5.220262901596698,InW,N,O,0,bridge,top,0,In,1,W,1
364176.0,MamunHighT2019,CH3COOH(g) + 8* -> 2C* + 4H* + 2O*,-10.128204968139016,CuZr,C,H,O,4fold,hollow,bridge,Cu,1,Zr,1
424130.0,MamunHighT2019,NO2(g) + 3* -> N* + 2O*,-4.316978020941178,Rh3Hg,N,O,0,hollow,hollow,0,Rh,3,Hg,1
361566.0,MamunHighT2019,CH2CH2(g) + 6* -> 2C* + 4H*,8.480521933104342,Bi3Nb,C,H,0,hollow-tilt,hollow,0,Bi,3,Nb,1
360704.0,MamunHighT2019,CH3COOH(g) + 8* -> 2C* + 4H* + 2O*,-0.59721232354741,Co,C,H,O,hollow,hollow,hollow,Co,1,0,0
388499.0,MamunHighT2019,C2H2(g) + 4* -> 2C* + 2H*,-1.8656504378078007,Ni3Os,C,H,0,hollow,hollow,0,Ni,3,Os,1
392047.0,MamunHighT2019,H2S(g) + 3* -> 2H* + S*,-2.2382956455966223,Cu3Y,H,S,0,bridge,bridge,0,Cu,3,Y,1
386327.0,MamunHighT2019,CH2CH2(g) + 6* -> 2C* + 4H*,-1.9845580625027424,Tc3Re,C,H,0,hollow,hollow,0,Tc,3,Re,1
399403.0,MamunHighT2019,H2SO4(g) + 7* -> 2H* + 4O* + S*,-1.5154657779330591,Pb3Ga,H,O,S,bridge,hollow,hollow,Pb,3,Ga,1
420510.0,MamunHighT2019,NH3(g) + 4* -> 3H* + N*,-3.782177455509725,W3In,H,N,0,hollow,hollow,0,W,3,In,1
373375.0,MamunHighT2019,H2SO3(g) + 6* -> 2H* + 3O* + S*,-1.6609938920501008,SnTl,H,O,S,top-tilt,hollow,hollow-tilt,Sn,1,Tl,1
421195.0,MamunHighT2019,C2H2(g) + 4* -> 2C* + 2H*,-3.7939361748131546,Re3Cd,C,H,0,hollow,hollow,0,Re,3,Cd,1
364027.0,MamunHighT2019,H2S(g) + 3* -> 2H* + S*,-0.67218961801143,AgAl,H,S,0,hollow,hollow,0,Ag,1,Al,1
390417.0,MamunHighT2019,CH3SH(g) + 6* -> C* + 4H* + S*,-0.9366691666542692,Pd3V,C,H,S,hollow,hollow,hollow,Pd,3,V,1
409474.0,MamunHighT2019,H2S(g) + 3* -> 2H* + S*,-4.5972688807067925,La3Sn,H,S,0,hollow,hollow,0,La,3,Sn,1
421124.0,MamunHighT2019,CH3CH3(g) + 8* -> 2C* + 6H*,-1.5071739254423164,Re3Cu,C,H,0,hollow,hollow,0,Re,3,Cu,1
410844.0,MamunHighT2019,CH3OH(g) + 6* -> C* + 4H* + O*,-6.55446712110961,OsSc,C,H,O,bridge,hollow,hollow,Os,1,Sc,1
362579.0,MamunHighT2019,N2O(g) + 3* -> 2N* + O*,-9.321552473598103,W3Pd,N,O,0,hollow,hollow,0,W,3,Pd,1
390767.0,MamunHighT2019,CH3COOH(g) + 8* -> 2C* + 4H* + 2O*,3.4442670348585125,Pd3Pt,C,H,O,hollow,top,hollow,Pd,3,Pt,1
419600.0,MamunHighT2019,CH3* + * -> CH2* + H*,1.951026698898204,AuBi,H,CH2,CH3,hollow-tilt,bridge,top,Au,1,Bi,1
363019.0,MamunHighT2019,H2S(g) + 3* -> 2H* + S*,0.4101133787063418,Cd3Zn,H,S,0,top,hollow,0,Cd,3,Zn,1
361554.0,MamunHighT2019,CO2(g) + 3* -> C* + 2O*,-2.2793623857269267,Bi3Nb,C,O,0,hollow-tilt,top-tilt,0,Bi,3,Nb,1
378988.0,MamunHighT2019,H2S(g) + 3* -> 2H* + S*,-1.434292995514511,NiTl,H,S,0,bridge,bridge,0,Ni,1,Tl,1
423653.0,MamunHighT2019,NH2(g) + 3* -> 2H* + N*,-3.993202689568818,Ir3Ag,H,N,0,hollow,hollow,0,Ir,3,Ag,1
423657.0,MamunHighT2019,CH3CH2OH(g) + 9* -> 2C* + 6H* + O*,-2.187353757357755,Ir3Ag,C,H,O,hollow,hollow,hollow,Ir,3,Ag,1
398455.0,MamunHighT2019,NO(g) + 2* -> N* + O*,-2.832100423409429,Pb3Y,N,O,0,hollow,hollow,0,Pb,3,Y,1
394004.0,MamunHighT2019,H2SO4(g) + 7* -> 2H* + 4O* + S*,-10.740769546160664,Cd3Cr,H,O,S,hollow-tilt,top,hollow-tilt,Cd,3,Cr,1
415671.0,MamunHighT2019,NH3(g) + 4* -> 3H* + N*,-4.9962794706272575,Ta3Mn,H,N,0,hollow,hollow,0,Ta,3,Mn,1
378282.0,MamunHighT2019,SO2(g) + 3* -> 2O* + S*,-2.6874607615702644,CoPt,O,S,0,hollow,hollow,0,Co,1,Pt,1
394878.0,MamunHighT2019,CH3CH3(g) + 8* -> 2C* + 6H*,1.5026478559733505,Hg3Tc,C,H,0,top,top,0,Hg,3,Tc,1
409138.0,MamunHighT2019,OCHOH(g) + 5* -> C* + 2H* + 2O*,-8.350793157127782,La3Au,C,H,O,hollow,hollow,hollow,La,3,Au,1
369512.0,MamunHighT2019,N2O(g) + 3* -> 2N* + O*,-0.3099678668052092,GaIn,N,O,0,hollow,hollow,0,Ga,1,In,1
423359.0,MamunHighT2019,CS2(g) + 3* -> C* + 2S*,-5.896412184557562,Ru3Ga,C,S,0,hollow,hollow,0,Ru,3,Ga,1
392670.0,MamunHighT2019,H2O(g) + 3* -> 2H* + O*,0.206612228021072,Cd3Al,H,O,0,top,hollow,0,Cd,3,Al,1
379553.0,MamunHighT2019,CH3OH(g) + 6* -> C* + 4H* + O*,-3.1135744341077043,Os3In,C,H,O,hollow,hollow,hollow,Os,3,In,1
385468.0,MamunHighT2019,H2O2(g) + 4* -> 2H* + 2O*,-11.54977582547258,W3V,H,O,0,hollow,hollow,0,W,3,V,1
420287.0,MamunHighT2019,CH3SH(g) + 6* -> C* + 4H* + S*,-6.619856348639246,W3Cu,C,H,S,hollow,hollow,hollow,W,3,Cu,1
370502.0,MamunHighT2019,CH3CH2SH(g) + 9* -> 2C* + 6H* + S*,1.226624421061956,LaPt,C,H,S,hollow,hollow-tilt,hollow-tilt,La,1,Pt,1
390675.0,MamunHighT2019,CH3OH(g) + 6* -> C* + 4H* + O*,1.3287261597147335,Pd3Co,C,H,O,hollow,hollow,hollow,Pd,3,Co,1
392072.0,MamunHighT2019,N2O(g) + 3* -> 2N* + O*,-5.130764387909267,Cu3La,N,O,0,hollow,hollow,0,Cu,3,La,1
363978.0,MamunHighT2019,NO(g) + 2* -> N* + O*,-8.404034678711469,LaNb,N,O,0,hollow,bridge,0,La,1,Nb,1
413599.0,MamunHighT2019,CH3COOH(g) + 8* -> 2C* + 4H* + 2O*,-12.357294594555697,Hf3Pd,C,H,O,hollow,hollow,hollow,Hf,3,Pd,1
389810.0,MamunHighT2019,H2O(g) + 3* -> 2H* + O*,-1.0123335490881118,Pt3Cr,H,O,0,hollow,top,0,Pt,3,Cr,1
386199.0,MamunHighT2019,NO2(g) + 3* -> N* + 2O*,-9.888186140741029,Tc3Ti,N,O,0,hollow,hollow,0,Tc,3,Ti,1
425820.0,MamunHighT2019,CS2(g) + 3* -> C* + 2S*,2.5915745117371216,Au3Zn,C,S,0,bridge,hollow,0,Au,3,Zn,1
374028.0,MamunHighT2019,CH3CH2OH(g) + 9* -> 2C* + 6H* + O*,-2.327452519998019,RuZn,C,H,O,bridge,bridge,hollow,Ru,1,Zn,1
373399.0,MamunHighT2019,N2O(g) + 3* -> 2N* + O*,-3.481879970307318,AlCo,N,O,0,4fold,hollow,0,Al,1,Co,1
